anio,provincia,total
2018,Carchi,997819
2018,Pichincha,663393
2018,Guayas,433842
2018,El Oro,217472
2018,Sucumbios,74508
2018,Loja,19561
2018,Esmeraldas,10083
2018,Manabí,6317
2018,Santa Elena,3169
2018,Galápagos,1295
2018,Cotopaxi,173
2018,Azuay,25
2018,Zamora Chinchipe,2
2018,Orellana,1
2019,Pichincha,684163
2019,Carchi,582344
2019,Guayas,483399
2019,El Oro,198290
2019,Sucumbios,50110
2019,Loja,19545
2019,Esmeraldas,13701
2019,Manabí,7812
2019,Santa Elena,3227
2019,Galápagos,1160
2019,Cotopaxi,156
2019,Zamora Chinchipe,67
2019,Orellana,10
2019,Azuay,9
2023,Pichincha,678637
2023,Guayas,449863
2023,Carchi,188963
2023,El Oro,100143
2023,Sucumbios,26914
2023,Loja,13415
2023,Manabí,10584
2023,Zamora Chinchipe,3673
2023,Esmeraldas,1793
2023,Santa Elena,1503
2023,Galápagos,1463
2023,Orellana,1015
2023,Azuay,23
2023,Cotopaxi,10
2024,Pichincha,612031
2024,Guayas,406890
2024,Carchi,104134
2024,El Oro,78025
2024,Manabí,14585
2024,Sucumbios,12917
2024,Loja,11192
2024,Zamora Chinchipe,2988
2024,Esmeraldas,1714
2024,Santa Elena,1576
2024,Galápagos,1500
2024,Orellana,306
2024,Azuay,55
2024,Cotopaxi,23
2025,Pichincha,672739
2025,Guayas,435454
2025,Carchi,107549
2025,El Oro,87377
2025,Manabí,18296
2025,Loja,14992
2025,Sucumbios,11909
2025,Zamora Chinchipe,4280
2025,Santa Elena,1830
2025,Esmeraldas,1771
2025,Galápagos,1336
2025,Orellana,309
2025,Azuay,25
2025,Cotopaxi,6
